field,accuracy,precision,recall,f1
primary_disease,0.13939393939393938,0.4333333333333333,0.1545454545454545,0.21904761904761907
conditioning_regimen_type,0.55,0.7,0.6,0.6399999999999999
conditioning_regimen,0.3333333333333333,0.3333333333333333,0.4,0.36
donor_type,0.85,0.8833333333333332,0.9333333333333332,0.9047619047619048
reason_for_admission,0.4,0.41666666666666663,0.5,0.4514285714285714
problem_list,0.02481203007518797,0.065,0.03666666666666667,0.04666666666666667
medications_admission,0.25,0.3,0.26666666666666666,0.27999999999999997
medications_discharge,0.2,0.2,0.2,0.2
wbc_admission,0.0,0.0,0.0,0.0
wbc_discharge,0.0,0.0,0.0,0.0
neuts_admission,0.0,0.0,0.0,0.0
neuts_discharge,0.0,0.0,0.0,0.0
hgb_admission,0.0,0.0,0.0,0.0
hgb_discharge,0.0,0.0,0.0,0.0
plt_admission,0.0,0.0,0.0,0.0
plt_discharge,0.0,0.0,0.0,0.0
t_bili_admission,0.2,0.2,0.2,0.2
t_bili_discharge,0.0,0.0,0.0,0.0
ca_admission,0.0,0.0,0.0,0.0
ca_discharge,0.0,0.0,0.0,0.0
overall,0.14737696514012302,0.17658333333333331,0.16456060606060607,0.1650952380952381
