field,accuracy,precision,recall,f1
primary_disease,0.5340659340659341,0.7428571428571429,0.548051948051948,0.6
conditioning_regimen_type,0.9,0.9,1.0,0.9428571428571428
conditioning_regimen,0.7,0.7,0.8,0.7333333333333333
donor_type,0.65,0.6833333333333333,0.7333333333333333,0.7047619047619047
reason_for_admission,0.29,0.3333333333333333,0.36666666666666664,0.3466666666666667
problem_list,0.045454545454545456,0.058823529411764705,0.1,0.07407407407407407
medications_admission,0.2,0.2,0.2,0.2
medications_discharge,0.21428571428571427,0.21538461538461537,0.3,0.22666666666666666
wbc_admission,0.6,0.6,0.6,0.6
wbc_discharge,0.8,0.8,0.8,0.8
neuts_admission,0.6,0.6,0.6,0.6
neuts_discharge,0.8,0.8,0.8,0.8
hgb_admission,0.6,0.6,0.6,0.6
hgb_discharge,0.8,0.8,0.8,0.8
plt_admission,0.6,0.6,0.6,0.6
plt_discharge,1.0,1.0,1.0,1.0
t_bili_admission,0.8,0.8,0.8,0.8
t_bili_discharge,0.8,0.8,0.8,0.8
ca_admission,0.8,0.8,0.8,0.8
ca_discharge,0.8,0.8,0.8,0.8
overall,0.6266903096903097,0.6416865977160094,0.6524025974025974,0.6414179894179896
